Student_ID,Age,Gender,Course_Year,Attendance_Percentage,Assignment_Submission_Rate,Quiz_Average_Score,Midterm_Score,Previous_GPA,Online_Learning_Hours,Course_Participation_Score,Forum_Activity_Count,Login_Frequency_Per_Week,Learning_Resource_Access_Count,Late_Submission_Count,Missing_Assignment_Count,Study_Plan_Adherence,Academic_Counseling_Received,Tutoring_Support_Received,Adaptive_Learning_Resource_Used,Performance_Score,Final_Academic_Score,Intervention_Recommendation,Academic_Risk_Level,Academic_Risk_Class
2050,24,Male,2,99.97,57.16,24.08,40.21,1.21,5.76,74.66,7,13,18,6,3,88.08,1,1,0,41.4,45.4,Adaptive Learning Resources,Medium Risk,1
2051,17,Male,3,72.7,22.47,19.84,25.55,2.12,10.09,84.12,6,3,35,6,4,44.88,1,0,0,30.86,38.13,Academic Counseling and Tutoring,High Risk,2
2052,21,Female,4,40.98,58.45,89.27,94.09,2.26,10.17,82.18,39,2,62,9,0,61.0,1,1,1,64.4,69.79,Adaptive Learning Resources,Medium Risk,1
2053,20,Male,3,68.74,83.64,67.11,30.31,3.54,1.33,37.58,24,13,63,5,3,65.84,0,0,0,58.26,62.29,Adaptive Learning Resources,Medium Risk,1
2054,21,Male,2,38.25,71.77,40.87,35.13,2.51,4.35,36.83,34,12,11,1,3,36.01,1,0,0,49.75,53.43,Adaptive Learning Resources,Medium Risk,1
2055,24,Male,4,53.76,97.31,62.75,39.83,2.47,10.01,68.49,14,4,51,7,4,56.48,0,0,0,47.19,50.49,Adaptive Learning Resources,Medium Risk,1
2056,20,Male,3,63.99,87.46,33.84,35.62,2.66,13.73,54.88,17,7,73,3,2,71.59,0,1,1,70.05,71.19,Regular Monitoring,Low Risk,0
2057,20,Male,1,69.73,62.12,95.49,24.66,1.38,11.79,89.73,10,2,53,6,2,89.48,0,0,1,55.64,61.6,Adaptive Learning Resources,Medium Risk,1
2058,19,Male,2,98.45,36.52,85.31,41.9,2.7,8.91,43.21,29,7,8,7,1,83.57,0,1,1,61.94,64.77,Adaptive Learning Resources,Medium Risk,1
2059,23,Male,3,98.84,20.3,96.79,52.46,2.65,3.87,46.47,28,7,43,6,5,88.89,0,0,0,45.97,50.28,Adaptive Learning Resources,Medium Risk,1
2060,19,Female,4,41.37,98.44,30.9,59.66,3.26,14.26,33.31,22,14,58,2,0,99.74,1,0,0,91.16,93.95,Regular Monitoring,Low Risk,0
2061,19,Male,4,69.98,95.07,86.71,24.08,2.9,6.35,98.54,33,10,34,7,1,37.29,1,0,0,65.88,68.78,Regular Monitoring,Low Risk,0
2062,21,Male,2,88.11,41.93,62.62,80.15,3.87,2.67,29.28,18,9,55,3,3,76.76,0,0,0,70.9,74.2,Regular Monitoring,Low Risk,0
2063,21,Female,1,50.45,71.06,42.62,38.04,1.24,0.81,98.63,15,3,56,7,2,62.71,1,1,0,31.66,36.73,Academic Counseling and Tutoring,High Risk,2
2064,22,Female,1,83.79,78.34,55.77,92.62,3.31,14.28,76.51,5,9,10,4,3,64.81,0,0,1,83.09,84.76,Regular Monitoring,Low Risk,0
2065,24,Male,3,92.11,66.24,95.27,39.66,3.25,11.78,27.13,40,7,46,8,3,39.61,0,0,0,59.1,64.51,Adaptive Learning Resources,Medium Risk,1
2066,22,Female,4,78.06,87.44,73.77,87.66,1.81,3.64,32.16,14,11,39,2,6,87.15,0,1,0,54.37,57.33,Adaptive Learning Resources,Medium Risk,1
2067,17,Male,2,56.3,26.23,45.59,41.73,3.1,2.56,46.16,8,13,20,1,5,82.08,1,0,0,48.29,54.08,Adaptive Learning Resources,Medium Risk,1
2068,24,Female,2,95.0,91.72,99.99,55.52,2.98,14.41,40.83,28,13,45,3,5,84.82,0,0,0,80.52,82.99,Regular Monitoring,Low Risk,0
2069,24,Male,4,92.43,51.36,44.39,43.51,1.9,3.99,97.85,41,8,63,1,7,99.74,0,1,0,46.9,50.13,Adaptive Learning Resources,Medium Risk,1
2070,25,Male,4,81.53,58.46,84.17,44.84,3.17,7.2,69.07,1,14,14,1,2,41.26,0,0,0,80.07,82.35,Regular Monitoring,Low Risk,0
2071,25,Female,1,58.64,55.58,81.67,65.67,3.79,9.36,25.95,32,3,36,0,5,97.85,1,1,1,72.77,74.94,Regular Monitoring,Low Risk,0
2072,18,Female,3,86.47,62.5,76.45,72.36,1.92,1.4,62.03,37,5,50,7,6,32.81,0,0,1,30.79,36.6,Academic Counseling and Tutoring,High Risk,2
2073,18,Male,3,55.55,67.85,71.9,88.34,3.94,5.49,91.77,22,11,42,0,3,22.71,0,0,0,86.51,87.43,Regular Monitoring,Low Risk,0
2074,19,Male,1,51.44,76.83,24.24,61.21,1.67,14.18,53.29,12,7,56,7,3,15.87,1,0,0,41.4,45.55,Adaptive Learning Resources,Medium Risk,1
2075,17,Male,2,68.48,62.0,99.57,29.52,1.4,10.66,73.29,19,8,16,8,0,34.92,0,0,1,53.73,56.6,Adaptive Learning Resources,Medium Risk,1
2076,20,Female,1,99.81,74.78,28.69,99.06,1.23,5.83,81.86,6,14,15,5,6,41.57,1,0,0,42.15,46.42,Adaptive Learning Resources,Medium Risk,1
2077,20,Male,2,87.28,47.06,65.67,71.54,1.64,11.98,34.8,16,6,60,6,6,41.28,0,0,0,38.3,43.36,Academic Counseling and Tutoring,High Risk,2
2078,25,Male,3,82.44,94.93,36.18,43.73,2.03,12.64,88.44,20,6,47,5,1,94.04,0,1,0,71.23,74.81,Regular Monitoring,Low Risk,0
2079,25,Male,2,64.38,25.16,29.35,97.14,3.2,2.7,55.91,27,5,79,0,0,41.61,0,1,0,77.78,80.83,Regular Monitoring,Low Risk,0
2080,25,Female,2,55.28,63.64,62.55,96.26,1.22,9.01,24.54,29,14,29,0,6,71.04,0,1,0,53.37,59.65,Adaptive Learning Resources,Medium Risk,1
2081,23,Female,2,90.63,26.99,86.09,17.16,2.52,5.82,90.31,22,4,60,0,4,98.76,0,1,0,64.63,71.32,Adaptive Learning Resources,Medium Risk,1
2082,18,Female,1,71.9,55.42,47.04,11.78,2.56,7.85,65.15,20,7,39,2,0,39.99,1,1,1,65.73,65.62,Regular Monitoring,Low Risk,0
2083,21,Male,3,87.86,40.61,21.56,14.0,1.68,7.3,35.87,0,10,41,6,1,97.9,0,1,0,43.01,47.75,Adaptive Learning Resources,Medium Risk,1
2084,20,Female,2,66.7,94.95,68.02,71.68,1.14,7.81,45.4,16,5,52,7,7,79.83,0,1,0,29.47,36.31,Academic Counseling and Tutoring,High Risk,2
2085,24,Female,2,84.01,21.05,80.15,73.98,1.68,8.07,65.55,31,13,70,0,6,84.06,0,1,1,60.33,63.55,Adaptive Learning Resources,Medium Risk,1
2086,18,Female,4,91.4,51.3,40.17,75.16,1.69,1.5,49.93,23,8,10,5,0,63.34,1,0,0,54.91,60.44,Adaptive Learning Resources,Medium Risk,1
2087,22,Male,2,60.44,82.56,73.7,66.72,3.06,3.08,38.67,6,12,12,7,4,81.1,1,1,0,50.62,54.22,Adaptive Learning Resources,Medium Risk,1
2088,21,Male,3,35.88,35.08,21.44,35.69,1.7,8.71,58.34,34,1,21,4,6,66.85,0,0,0,18.74,24.39,Academic Counseling and Tutoring,High Risk,2
2089,18,Female,2,51.57,85.25,45.72,25.04,2.02,14.07,34.8,35,8,35,1,6,56.21,0,1,0,47.3,51.5,Adaptive Learning Resources,Medium Risk,1
2090,17,Male,4,94.47,88.78,55.3,93.51,1.14,11.32,39.63,13,12,70,3,6,87.61,1,1,0,58.35,61.83,Adaptive Learning Resources,Medium Risk,1
2091,24,Female,4,79.69,76.64,81.47,92.18,2.87,3.96,86.14,11,5,34,3,3,84.76,1,0,0,75.72,78.86,Regular Monitoring,Low Risk,0
2092,18,Female,1,82.92,36.73,43.74,31.82,2.42,5.74,38.28,38,4,29,3,3,48.66,0,1,1,45.03,48.15,Adaptive Learning Resources,Medium Risk,1
2093,23,Female,3,56.14,41.76,53.56,25.11,2.03,5.36,75.63,22,12,54,7,6,18.53,1,1,0,21.23,24.55,Academic Counseling and Tutoring,High Risk,2
2094,25,Female,1,80.58,33.35,68.41,43.78,3.11,11.66,40.04,13,6,37,5,0,93.71,1,1,0,74.18,77.49,Regular Monitoring,Low Risk,0
2095,25,Female,4,77.01,34.73,68.05,14.36,3.05,14.6,36.99,24,12,42,8,7,81.5,0,1,1,35.69,42.84,Academic Counseling and Tutoring,High Risk,2
2096,24,Male,2,46.59,22.92,59.01,24.59,1.98,5.65,40.09,21,7,31,9,4,87.91,0,1,1,19.15,26.33,Academic Counseling and Tutoring,High Risk,2
2097,25,Male,4,97.96,88.59,42.92,44.23,3.13,0.71,57.46,44,3,28,0,1,17.01,0,1,1,71.8,73.14,Regular Monitoring,Low Risk,0
2098,18,Male,2,58.01,62.28,71.94,31.49,2.04,14.08,31.7,36,12,51,0,6,89.3,1,1,1,58.41,62.45,Adaptive Learning Resources,Medium Risk,1
2099,22,Male,3,56.4,46.22,86.16,76.31,1.67,11.42,28.53,28,4,12,1,4,54.86,0,1,0,56.53,59.99,Adaptive Learning Resources,Medium Risk,1
2100,20,Male,4,59.0,43.17,28.07,91.45,3.16,12.6,80.54,7,7,18,4,0,92.38,0,0,0,82.0,85.03,Regular Monitoring,Low Risk,0
2101,20,Male,4,40.96,63.58,43.94,91.82,3.18,3.53,21.86,10,7,51,5,2,73.83,0,1,0,57.68,61.46,Adaptive Learning Resources,Medium Risk,1
2102,21,Female,1,75.62,46.13,71.84,64.39,3.6,9.86,50.84,29,13,33,2,7,51.18,0,0,0,61.04,65.77,Adaptive Learning Resources,Medium Risk,1
2103,19,Female,2,50.51,89.1,79.24,73.31,2.5,3.87,51.68,21,3,24,0,2,25.52,1,0,0,69.27,70.62,Regular Monitoring,Low Risk,0
2104,17,Female,2,87.22,36.88,81.42,54.46,1.7,0.67,91.44,14,9,46,6,5,62.4,0,1,0,36.82,46.3,Academic Counseling and Tutoring,High Risk,2
2105,24,Female,2,60.62,90.58,70.53,23.2,3.51,2.78,81.96,20,3,19,0,7,75.26,0,0,1,53.8,59.45,Adaptive Learning Resources,Medium Risk,1
2106,21,Female,2,64.81,73.13,55.65,67.15,1.52,13.88,60.85,24,8,23,6,4,91.84,0,1,0,51.4,55.08,Adaptive Learning Resources,Medium Risk,1
2107,19,Female,2,77.02,96.53,69.89,41.5,3.82,3.62,58.39,12,8,29,8,0,90.25,0,1,1,72.29,75.16,Regular Monitoring,Low Risk,0
2108,23,Female,2,84.52,21.21,26.48,10.52,1.92,8.98,65.25,6,3,50,0,4,36.98,0,0,0,43.12,48.0,Adaptive Learning Resources,Medium Risk,1
2109,23,Female,1,50.02,24.73,32.66,61.75,1.06,14.54,48.63,17,7,43,7,0,21.38,1,0,0,43.21,47.07,Adaptive Learning Resources,Medium Risk,1
2110,17,Female,2,97.81,60.07,93.84,27.85,1.56,1.6,76.06,11,3,16,9,1,54.93,0,0,1,40.43,43.13,Adaptive Learning Resources,Medium Risk,1
2111,25,Female,1,75.45,92.99,93.38,89.79,2.24,12.22,74.89,25,13,21,8,6,38.5,0,1,0,54.56,58.1,Adaptive Learning Resources,Medium Risk,1
2112,18,Female,2,35.37,78.46,76.53,94.06,1.17,9.16,65.97,4,14,33,7,6,41.98,0,1,0,36.22,44.07,Academic Counseling and Tutoring,High Risk,2
2113,21,Male,3,62.02,69.77,42.8,24.6,2.23,5.19,24.62,7,2,57,0,7,71.73,0,0,0,35.17,43.18,Academic Counseling and Tutoring,High Risk,2
2114,21,Male,1,63.39,22.53,70.15,12.65,1.61,5.78,30.15,35,13,73,3,2,78.46,0,0,1,46.99,52.25,Adaptive Learning Resources,Medium Risk,1
2115,24,Male,2,87.6,48.33,73.46,10.36,1.06,0.89,23.14,4,7,54,9,7,77.35,0,0,0,1.76,8.11,Academic Counseling and Tutoring,High Risk,2
2116,24,Male,2,54.83,47.67,58.78,92.17,1.9,4.21,77.48,21,13,44,3,3,84.46,0,0,1,60.94,66.49,Adaptive Learning Resources,Medium Risk,1
2117,23,Male,2,56.53,63.37,78.62,23.68,1.68,6.64,58.21,22,8,23,0,2,18.69,0,1,0,57.35,60.5,Adaptive Learning Resources,Medium Risk,1
2118,23,Male,3,39.58,40.63,17.52,49.18,2.26,10.9,96.4,7,9,21,6,3,97.06,1,0,1,45.83,49.09,Adaptive Learning Resources,Medium Risk,1
2119,22,Male,2,53.43,41.37,36.78,15.14,3.28,4.48,96.19,18,14,2,6,0,43.77,1,0,0,56.07,60.4,Adaptive Learning Resources,Medium Risk,1
2120,22,Female,1,81.6,69.67,82.53,43.6,2.53,8.91,83.85,33,1,52,9,3,46.2,0,0,0,48.51,50.39,Adaptive Learning Resources,Medium Risk,1
2121,25,Female,4,76.26,95.57,94.79,80.69,3.3,11.11,55.44,5,9,58,8,1,68.72,0,0,0,82.26,84.77,Regular Monitoring,Low Risk,0
2122,22,Male,4,40.29,72.81,89.47,46.6,2.01,10.63,45.31,16,2,43,7,6,34.16,0,0,1,30.24,37.55,Academic Counseling and Tutoring,High Risk,2
2123,18,Female,1,42.46,73.45,75.9,79.8,1.04,9.06,36.08,16,3,53,2,6,72.62,0,0,0,41.92,47.04,Adaptive Learning Resources,Medium Risk,1
2124,18,Female,2,59.5,98.9,29.07,72.0,3.77,8.91,38.6,14,8,78,1,0,37.31,0,0,0,90.29,94.27,Regular Monitoring,Low Risk,0
2125,21,Female,2,83.34,32.28,46.34,56.56,1.94,10.96,99.23,38,2,27,9,2,74.65,0,1,1,45.48,50.83,Adaptive Learning Resources,Medium Risk,1
2126,20,Female,1,89.14,22.71,19.27,76.39,2.58,5.36,62.43,36,7,64,2,2,84.51,0,1,1,64.44,71.09,Adaptive Learning Resources,Medium Risk,1
2127,18,Male,2,35.95,79.64,69.39,89.12,2.41,7.03,20.98,30,11,62,7,4,91.52,0,1,0,49.94,52.8,Adaptive Learning Resources,Medium Risk,1
2128,19,Male,3,56.39,55.1,53.24,81.37,2.75,14.51,23.54,21,8,63,5,5,49.7,0,0,1,53.88,58.99,Adaptive Learning Resources,Medium Risk,1
2129,23,Male,1,62.58,54.31,63.71,72.26,3.65,10.19,56.7,24,10,68,2,3,83.6,0,0,0,81.26,84.64,Regular Monitoring,Low Risk,0
2130,24,Male,4,94.22,38.02,98.24,73.16,3.6,8.04,55.48,18,14,62,1,0,54.53,0,1,0,100.0,100.0,Regular Monitoring,Low Risk,0
2131,22,Female,2,67.59,60.55,49.19,24.5,3.94,8.89,52.44,6,5,47,0,5,35.9,0,0,0,62.82,65.1,Adaptive Learning Resources,Medium Risk,1
2132,21,Male,2,52.53,55.37,41.07,95.56,2.59,2.01,85.89,1,13,50,7,3,77.18,0,0,1,51.98,57.38,Adaptive Learning Resources,Medium Risk,1
2133,17,Male,3,60.35,47.64,27.8,28.51,3.77,9.08,76.25,14,11,25,2,1,40.03,1,0,0,72.19,72.42,Regular Monitoring,Low Risk,0
2134,24,Male,1,63.37,55.42,27.21,41.41,2.45,12.63,28.59,21,3,47,2,1,29.51,1,1,0,60.59,65.59,Adaptive Learning Resources,Medium Risk,1
2135,19,Male,2,78.55,50.71,59.08,56.62,1.13,8.09,49.01,37,11,58,4,4,25.3,0,0,0,42.13,47.5,Adaptive Learning Resources,Medium Risk,1
2136,22,Female,2,37.67,95.19,78.68,21.36,1.44,3.07,67.73,6,12,73,4,0,48.81,0,0,1,57.48,61.51,Adaptive Learning Resources,Medium Risk,1
2137,19,Female,2,60.31,98.42,62.98,63.42,2.0,7.0,50.6,40,9,15,8,7,78.41,0,1,0,30.55,33.54,Academic Counseling and Tutoring,High Risk,2
2138,23,Male,2,77.03,87.19,89.23,26.44,3.18,4.53,36.66,22,12,3,4,6,84.18,1,0,0,51.34,57.83,Adaptive Learning Resources,Medium Risk,1
2139,23,Male,1,53.42,99.23,41.85,93.1,1.24,5.72,70.24,1,12,7,6,0,85.94,1,0,0,62.68,68.54,Adaptive Learning Resources,Medium Risk,1
2140,25,Male,1,73.46,41.26,65.58,89.98,2.08,3.76,68.18,32,13,77,6,3,51.38,1,0,0,54.17,60.1,Adaptive Learning Resources,Medium Risk,1
2141,21,Male,1,58.22,87.43,71.21,59.0,3.95,5.34,97.97,17,14,62,6,4,18.21,0,0,0,66.04,66.74,Regular Monitoring,Low Risk,0
2142,24,Female,4,84.32,52.53,38.86,50.45,3.36,12.41,64.89,43,13,37,4,5,30.16,1,0,0,59.47,64.71,Adaptive Learning Resources,Medium Risk,1
2143,24,Male,1,38.94,79.69,48.69,19.23,2.72,11.49,89.94,6,8,69,2,6,31.6,0,0,0,49.34,54.26,Adaptive Learning Resources,Medium Risk,1
2144,17,Female,1,94.67,36.11,65.23,84.1,1.19,7.61,95.94,23,3,31,6,2,57.82,1,0,1,52.94,55.84,Adaptive Learning Resources,Medium Risk,1
2145,21,Female,4,46.15,84.96,16.78,44.14,1.04,11.85,54.78,10,13,49,7,0,92.85,0,0,0,51.6,54.91,Adaptive Learning Resources,Medium Risk,1
2146,19,Male,3,45.31,26.68,90.36,32.17,1.32,14.65,24.23,11,8,17,3,0,26.07,1,0,1,56.92,62.17,Adaptive Learning Resources,Medium Risk,1
2147,17,Male,2,89.64,41.64,24.44,99.58,1.98,6.39,31.48,17,3,65,5,0,17.86,0,0,1,57.65,62.73,Adaptive Learning Resources,Medium Risk,1
2148,20,Female,1,91.5,85.76,19.04,70.15,2.82,14.71,60.32,36,6,9,4,4,15.04,0,0,0,61.08,67.61,Adaptive Learning Resources,Medium Risk,1
2149,24,Female,3,41.04,79.77,33.28,16.65,1.59,4.07,91.44,0,14,36,9,5,91.55,1,0,0,20.61,28.42,Academic Counseling and Tutoring,High Risk,2
2150,19,Male,1,94.07,60.1,57.7,82.12,1.15,14.34,72.33,0,12,25,1,6,84.88,1,0,1,62.79,66.0,Adaptive Learning Resources,Medium Risk,1
2151,18,Female,3,52.76,73.82,42.94,77.54,1.27,13.03,36.12,26,1,32,0,1,96.85,0,1,0,70.89,70.76,Regular Monitoring,Low Risk,0
2152,25,Female,4,75.21,34.85,52.41,46.11,2.28,3.39,76.08,8,13,35,5,6,74.53,0,0,1,36.1,40.41,Academic Counseling and Tutoring,High Risk,2
2153,21,Male,2,39.46,73.42,22.16,21.13,3.32,5.57,91.54,0,4,6,9,2,66.91,0,0,0,38.27,42.64,Academic Counseling and Tutoring,High Risk,2
2154,23,Female,1,59.74,20.64,34.81,54.77,3.46,10.76,22.42,27,8,15,5,6,25.47,0,0,1,35.52,43.85,Academic Counseling and Tutoring,High Risk,2
2155,18,Male,3,64.3,86.66,23.3,78.7,1.87,3.28,39.42,11,6,38,6,1,63.93,0,0,1,49.31,52.43,Adaptive Learning Resources,Medium Risk,1
2156,25,Female,2,73.99,61.3,34.53,16.84,2.99,9.07,32.25,15,11,21,4,6,82.22,0,0,0,40.96,44.59,Adaptive Learning Resources,Medium Risk,1
2157,25,Female,2,69.14,95.51,74.78,24.71,2.18,8.25,82.73,6,5,66,0,5,88.89,0,0,1,64.9,69.44,Adaptive Learning Resources,Medium Risk,1
2158,20,Female,2,65.0,58.25,63.9,65.7,3.92,4.73,91.32,34,6,17,5,6,88.96,1,1,0,55.54,60.76,Adaptive Learning Resources,Medium Risk,1
2159,20,Male,3,97.38,54.65,43.39,60.36,2.21,4.86,64.36,40,7,12,3,5,40.8,1,1,0,45.91,50.2,Adaptive Learning Resources,Medium Risk,1
2160,22,Male,3,47.03,56.0,37.2,91.46,2.19,7.99,87.86,22,1,69,6,6,31.15,0,0,1,35.0,42.24,Academic Counseling and Tutoring,High Risk,2
2161,22,Female,4,45.27,48.78,99.79,83.33,2.5,4.85,72.55,34,13,45,1,5,27.62,1,0,0,62.02,66.08,Adaptive Learning Resources,Medium Risk,1
2162,17,Female,4,81.37,33.33,80.27,92.69,1.08,3.11,72.54,15,3,62,8,7,69.75,1,1,0,22.03,25.6,Academic Counseling and Tutoring,High Risk,2
2163,25,Female,1,39.85,87.37,84.87,51.94,2.25,11.71,66.38,41,12,32,6,7,20.95,0,0,0,39.49,46.08,Academic Counseling and Tutoring,High Risk,2
2164,18,Female,3,66.39,51.13,17.24,80.9,3.49,8.94,24.0,7,14,70,4,3,89.0,0,0,1,66.92,69.38,Regular Monitoring,Low Risk,0
2165,21,Female,1,66.46,62.33,20.06,14.38,2.84,6.85,94.96,15,12,78,1,0,83.66,1,0,0,77.07,78.8,Regular Monitoring,Low Risk,0
2166,25,Male,3,55.15,21.59,75.57,36.5,3.91,3.13,48.46,5,1,62,0,3,15.59,0,0,0,60.44,63.9,Adaptive Learning Resources,Medium Risk,1
2167,20,Male,1,95.48,24.82,31.31,67.98,1.98,9.12,84.21,35,9,10,4,7,64.94,0,1,0,37.69,43.3,Academic Counseling and Tutoring,High Risk,2
2168,19,Male,2,53.37,67.77,51.18,78.73,1.48,9.61,84.8,30,4,51,9,7,68.82,1,0,0,24.22,29.96,Academic Counseling and Tutoring,High Risk,2
2169,23,Female,4,53.75,90.34,30.65,61.34,3.25,7.46,97.26,27,2,19,4,5,92.02,1,0,1,55.88,61.25,Adaptive Learning Resources,Medium Risk,1
2170,22,Female,2,50.23,59.47,30.05,53.27,1.13,5.9,46.14,34,12,16,2,3,60.46,1,0,1,42.41,44.57,Adaptive Learning Resources,Medium Risk,1
2171,24,Female,4,44.48,33.2,24.27,30.99,1.48,13.08,99.79,16,11,25,8,0,19.4,0,0,0,42.01,45.32,Adaptive Learning Resources,Medium Risk,1
2172,19,Male,3,58.66,29.29,65.51,25.68,2.52,10.72,44.05,29,5,48,9,5,73.09,1,1,0,27.7,32.09,Academic Counseling and Tutoring,High Risk,2
2173,21,Male,2,79.26,91.98,77.84,88.79,3.26,5.66,56.11,8,2,72,0,4,44.71,0,1,1,79.91,82.81,Regular Monitoring,Low Risk,0
2174,20,Male,2,83.24,76.13,19.83,22.8,2.8,9.1,76.5,22,7,74,4,3,58.31,0,0,0,57.36,61.18,Adaptive Learning Resources,Medium Risk,1
2175,20,Male,4,87.87,97.3,38.42,49.18,3.98,3.89,32.4,44,4,35,3,4,35.34,0,0,1,60.69,65.06,Adaptive Learning Resources,Medium Risk,1
2176,20,Male,1,47.84,26.59,70.96,89.96,2.96,0.67,41.31,0,5,24,1,7,88.14,1,0,0,43.67,49.38,Adaptive Learning Resources,Medium Risk,1
2177,24,Male,3,37.32,92.21,48.35,23.29,3.17,13.1,78.25,11,14,21,0,1,64.99,1,0,0,85.44,88.15,Regular Monitoring,Low Risk,0
2178,22,Male,3,98.35,87.65,74.9,21.48,3.98,12.37,97.95,16,9,46,9,6,78.34,0,1,1,58.94,62.94,Adaptive Learning Resources,Medium Risk,1
2179,19,Female,4,35.93,91.45,79.53,72.33,2.78,9.77,78.62,32,14,37,3,2,27.78,1,1,1,76.62,79.09,Regular Monitoring,Low Risk,0
2180,21,Male,3,97.44,20.46,17.74,39.84,3.14,12.26,88.98,21,12,47,5,6,63.03,1,0,0,48.41,53.29,Adaptive Learning Resources,Medium Risk,1
2181,22,Female,3,88.87,79.35,47.37,49.21,1.89,11.82,23.0,9,2,10,7,2,40.63,0,0,1,46.29,52.74,Adaptive Learning Resources,Medium Risk,1
2182,21,Female,4,94.28,63.92,76.98,66.3,2.61,12.97,66.16,25,11,15,9,2,17.17,0,0,0,61.06,66.56,Adaptive Learning Resources,Medium Risk,1
2183,22,Female,4,60.17,65.85,47.17,44.11,3.74,13.43,93.13,13,5,44,1,2,76.93,0,0,1,85.82,86.56,Regular Monitoring,Low Risk,0
2184,24,Female,3,47.82,57.54,15.5,81.99,3.56,12.37,74.59,24,14,78,1,5,98.23,0,1,1,75.42,78.94,Regular Monitoring,Low Risk,0
2185,23,Male,1,74.42,79.41,43.59,97.21,1.92,12.85,74.12,10,13,62,5,4,76.87,0,1,1,66.41,67.53,Regular Monitoring,Low Risk,0
2186,21,Male,2,83.18,99.99,89.18,93.98,2.07,7.77,36.24,18,4,23,3,1,22.14,0,0,1,75.88,78.76,Regular Monitoring,Low Risk,0
2187,22,Female,3,43.51,76.84,95.91,59.09,3.54,10.77,88.89,42,3,6,9,4,68.55,0,1,1,55.29,57.79,Adaptive Learning Resources,Medium Risk,1
2188,20,Female,2,86.85,74.24,62.64,41.93,1.85,5.33,89.2,27,11,60,8,3,85.44,0,0,1,49.12,53.05,Adaptive Learning Resources,Medium Risk,1
2189,25,Female,2,48.56,72.36,41.04,49.04,3.66,12.99,69.12,26,1,33,3,7,28.71,0,0,1,48.31,49.44,Adaptive Learning Resources,Medium Risk,1
2190,20,Female,1,66.96,75.62,54.62,39.71,3.32,12.95,54.13,10,12,77,1,0,98.37,0,0,1,95.96,97.96,Regular Monitoring,Low Risk,0
2191,17,Male,3,90.67,47.37,35.08,49.76,1.46,1.46,85.94,21,6,36,0,5,68.01,0,0,1,44.6,48.29,Adaptive Learning Resources,Medium Risk,1
2192,23,Male,2,47.57,45.62,29.29,11.17,3.16,5.53,57.2,24,7,5,5,3,98.48,0,0,1,41.47,42.53,Adaptive Learning Resources,Medium Risk,1
2193,23,Female,1,50.72,82.75,56.95,14.97,3.5,2.99,85.81,29,13,48,0,4,68.56,0,1,0,66.91,69.04,Regular Monitoring,Low Risk,0
2194,20,Male,2,39.08,24.25,77.62,79.42,1.43,2.47,58.79,18,1,74,5,3,71.84,0,0,0,37.54,47.16,Academic Counseling and Tutoring,High Risk,2
2195,19,Male,3,44.53,80.74,33.91,40.13,2.37,6.52,66.38,38,13,79,7,3,79.56,0,0,0,46.47,52.1,Adaptive Learning Resources,Medium Risk,1
2196,24,Female,2,44.52,85.11,92.31,81.5,3.59,9.57,79.84,6,6,55,5,3,83.32,0,0,0,78.49,80.23,Regular Monitoring,Low Risk,0
2197,21,Male,1,48.22,61.73,29.3,53.19,1.6,5.48,41.2,5,1,61,3,1,89.66,0,1,1,49.77,52.22,Adaptive Learning Resources,Medium Risk,1
2198,23,Male,1,53.6,92.81,62.46,82.53,2.35,4.98,39.75,8,6,52,1,1,78.93,0,1,0,76.67,78.14,Regular Monitoring,Low Risk,0
2199,20,Female,2,87.97,57.85,80.99,69.72,2.84,1.87,73.43,17,4,14,4,6,54.05,1,0,1,47.46,52.13,Adaptive Learning Resources,Medium Risk,1
2200,20,Female,4,94.52,34.25,33.14,28.09,1.29,6.05,96.31,30,6,36,4,0,36.58,1,1,0,51.51,57.52,Adaptive Learning Resources,Medium Risk,1
2201,24,Male,3,61.41,48.91,40.2,50.3,1.64,7.33,55.68,5,1,17,7,2,48.76,1,1,1,34.15,38.7,Academic Counseling and Tutoring,High Risk,2
2202,24,Female,1,43.33,92.47,19.38,73.39,2.4,6.28,91.86,21,1,69,2,5,93.19,0,0,1,54.0,56.32,Adaptive Learning Resources,Medium Risk,1
2203,18,Female,2,49.55,99.5,95.24,39.76,2.12,10.36,61.45,8,3,4,1,5,88.36,0,0,0,60.88,65.16,Adaptive Learning Resources,Medium Risk,1
2204,18,Male,4,82.85,53.75,56.39,27.4,1.97,4.68,97.91,30,6,63,0,4,45.8,0,1,1,56.24,60.17,Adaptive Learning Resources,Medium Risk,1
2205,19,Male,1,79.03,33.35,20.47,58.59,1.08,10.88,83.36,21,3,32,1,6,50.98,1,0,0,37.34,43.24,Academic Counseling and Tutoring,High Risk,2
2206,19,Male,2,97.87,42.91,85.56,34.63,3.78,13.3,88.76,20,14,2,1,6,40.01,0,0,1,75.03,76.45,Regular Monitoring,Low Risk,0
2207,17,Female,2,35.94,64.26,63.39,63.49,3.61,9.07,74.37,34,13,63,0,4,67.87,1,1,1,78.62,82.02,Regular Monitoring,Low Risk,0
2208,19,Male,1,83.8,65.77,19.7,34.46,2.18,6.14,89.48,28,7,2,7,1,45.6,0,1,0,46.52,52.86,Adaptive Learning Resources,Medium Risk,1
